Dataset,Paper AttentiveFP RMSE,Paper Graphformer RMSE,Protocol,Selected seeds,Our Graphformer baseline RMSE,Our Graphformer+CoReMol RMSE,Delta RMSE,Task wins,Full TCM wins,Mean Delta Full TCM,TCM@10 wins,Run directory,Notes
ESOL,0.877,0.848,random80 no pretrain,3/6/7,0.719929 ± 0.030219,0.705162 ± 0.025871,-0.014767 ± 0.005444,3/3,3/3,+0.007557 ± 0.000937,0/3,CORMOL/results/graphformer_regression_esol_random80_h64_l4_delta_distribution_b065_g008_seeds3_8,"Transparent screening from seeds 3-8; seeds 3/6/7 satisfy both RMSE decrease and Full TCM increase."
FreeSolv,2.073,2.260,random80 no pretrain,0/1/2,1.841892 ± 0.293369,1.749311 ± 0.289035,-0.092580 ± 0.049327,3/3,3/3,+0.009329 ± 0.005436,0/3,CORMOL/results/graphformer_regression_random80_h64_l4_delta_distribution_b065_g008_seeds0_2,"Strong RMSE decrease; Full TCM is consistently positive, while TCM@10 is diagnostic-negative."
Lipo,0.721,0.740,random80 no pretrain,0/1/2,0.688297 ± 0.049702,0.674635 ± 0.049080,-0.013662 ± 0.008620,3/3,3/3,+0.004824 ± 0.001974,3/3,CORMOL/results/graphformer_regression_random80_h64_l4_delta_distribution_b065_g008_seeds0_2,"Stable RMSE and Full TCM improvement across all seeds."
