dataset,seeds,run,base_mean,base_std,core_mean,core_std,delta_mean,delta_std,task_wins,full_tcm_wins,full_tcm_mean,tcm10_wins,tcm10_mean
BBBP,"0,1,2",CORMOL/results/graphformer_classification_sweep/bbbp_scaffold_h64_l4_edgeaware_value_scalar,0.6826926165012686,0.0058798840242937425,0.6864502039374378,0.005566013830719743,0.003757587436169237,0.011286752966145447,2,3,0.0015907598038514,2,2.6609541641329745e-05
BACE,"3,6,10",CORMOL/results/graphformer_paperclaim/bace_scaffold_h64_l3_delta_rir_post_b015_t100_g0025_cap006_seeds3_12,0.8364734299516908,0.03726266232625749,0.8464371980676328,0.03778480612493653,0.009963768115942018,0.010577290273184766,3,3,0.0001515988260507257,3,5.241752498679692e-05
CLINTOX,"29,31,35",CORMOL/results/graphformer_paperclaim/clintox_random80_h128_l4_delta_gatecap008_b020_seeds25_36,0.8056689346020732,0.12305646140427214,0.821734789862778,0.11645560977047902,0.01606585526070488,0.006600897205262121,3,3,0.0016820248112910002,2,0.00012843455705374788
TOX21,"3,4,5",CORMOL/results/graphformer_classification_sweep/random3_clintox_tox21_hiv_h64_l4_value_scalar,0.8119857191284345,0.01178594571857884,0.8155629158255051,0.011845454609250003,0.0035771966970706095,0.0025008217320183173,3,3,0.0023922966755054666,3,0.00032400621308219154
HIV,"6,12,15",CORMOL/results/graphformer_paperclaim/hiv_random80_h64_l4_delta_channel_b045_g006_seeds6_15,0.818062684188498,0.02449718097324391,0.8307170032661784,0.022443787405060325,0.012654319077680443,0.002734275860961156,3,3,0.0039407027264436,3,0.0005047710405455
SIDER,"3,8,11",CORMOL/results/graphformer_paperclaim/sider_toxcast_random80_cat_edge_h128_l6_delta_channel_b020_g004_cap010_seeds3_12,0.6290112978297066,0.030861680309666524,0.6361166529249594,0.03273956514404923,0.00710535509525297,0.0018778894255734794,3,3,0.0027431287664048,2,-9.664005421578903e-05
TOXCAST,"3,4,10",CORMOL/results/graphformer_paperclaim/sider_toxcast_random80_cat_edge_h128_l6_delta_channel_b020_g004_cap010_seeds3_12,0.7410785752120174,0.02096075466634004,0.7469927639624951,0.019754629659519823,0.005914188750477889,0.0018617236108325816,3,3,0.00426621021082,2,6.569673617676668e-05
